;Код ДС;состояние площадки;Площадь;Генпроектировщик;Генподрядчик;Кол-во рабочих;date_report
1084;021-0049;;;0;0;;2023.01.20
1085;021-0781;Свободна, не передана;8226.4;2;0;;2023.01.20
1086;021-0048;Свободна, не передана;9900.0;6;0;;2023.01.20
1088;020-0711;Свободна, передана;7265.0;28;19;9.0;2023.01.20
1089;019-0594;Занята;17488.0;1;2;;2023.01.20
1090;020-0156;Занята;13288.0;21;15;;2023.01.20
1091;020-0149;Свободна, передана;2812.0;8;5;31.0;2023.01.20
1092;019-0676;Свободна, не передана;6291.0;29;20;122.0;2023.01.20
1093;020-0779;Свободна, передана;2992.5;26;18;10.0;2023.01.20
1094;019-0674;Занята;9030.0;6;0;;2023.01.20
1096;019-0589;Занята;3751.1;1;2;;2023.01.20
1098;020-0157;Занята;7243.9;30;7;39.0;2023.01.20
1099;019-0476;Свободна, передана;5429.0;31;19;3.0;2023.01.20
1100;019-0470;Свободна, передана;15050.0;18;21;112.0;2023.01.20
1102;017-0527;Занята;14784.0;8;5;;2023.01.20
1103;017-0520;Свободна, не передана;6367.0;8;5;;2023.01.20
1106;021-0548;Занята;4037.0;32;0;;2023.01.20
15;021-0549;Занята;;0;0;;2023.01.27
1011;022-0043;;;0;0;;2023.01.27
1013;022-0629;;;0;1;;2023.01.27
1014;022-0170;Свободна, передана;16402.54;1;2;339.0;2023.01.27
1017;022-0526;Свободна, не передана;18100.0;0;0;;2023.01.27
1018;022-0520;Свободна, не передана;27225.0;0;0;;2023.01.27
1019;022-0519;Свободна, не передана;8307.0;0;0;;2023.01.27
1020;022-0515;Занята;5500.0;0;0;;2023.01.27
1022;022-0513;Свободна, не передана;6892.0;0;0;;2023.01.27
1023;022-0527;Не передана;9850.0;0;0;;2023.01.27
1024;022-0522;Не передана;13260.0;0;0;;2023.01.27
1025;022-0518;Свободна, не передана;6000.0;0;0;;2023.01.27
1026;022-0631;;;0;2;;2023.01.27
1027;021-0550;Не передана под снос (для объектов сноса);1977.5;2;0;;2023.01.27
1028;022-0355;Не передана под снос (для объектов сноса);;1;2;;2023.01.27
1029;022-0592;;;3;0;;2023.01.27
1030;022-0525;Не передана;9900.0;0;0;;2023.01.27
1031;022-0707;;;0;0;;2023.01.27
1032;022-0630;;;0;0;;2023.01.27
1033;022-0523;;27225.0;0;0;;2023.01.27
1035;022-0524;Занята;6800.0;0;0;;2023.01.27
1036;022-0528;Занята;12225.0;0;0;;2023.01.27
1037;022-0354;Свободна, не передана;20271.0;0;0;;2023.01.27
1038;022-0176;Не передана;17000.0;4;0;;2023.01.27
1040;022-0172;Свободна, передана;;5;3;;2023.01.27
1041;020-0776;Свободна, не передана;3328.02;6;0;;2023.01.27
1042;022-0171;Свободна, передана;6671.21;1;2;127.0;2023.01.27
1043;022-0517;Занята;7000.0;0;0;;2023.01.27
1046;019-0668;Свободна, передана;2766.4;7;4;35.0;2023.01.27
1047;019-0464;Свободна, передана;11837.18;8;5;107.0;2023.01.27
1049;020-0720;Свободна, передана;20164.69;9;6;252.0;2023.01.27
1050;020-0719;Свободна, передана;5149.6;2;7;69.0;2023.01.27
1051;019-0466;Свободна, передана;5270.32;10;1;17.0;2023.01.27
1052;019-0429;Свободна, передана;11410.0;11;7;82.0;2023.01.27
1053;020-0155;Занята;16484.0;8;5;;2023.01.27
1054;019-0428;Свободна, передана;9067.1;12;4;42.0;2023.01.27
1055;020-0684;Занята;2488.6;1;2;;2023.01.27
1056;019-0467;Свободна, передана;11215.0;10;8;109.0;2023.01.27
1057;019-0482;Свободна, снос завершен (для объектов сноса);16442.0;10;8;;2023.01.27
1059;019-0481;Свободна, передана;15122.0;13;9;177.0;2023.01.27
1060;019-0473;Свободна, передана;11507.82;14;10;0.0;2023.01.27
1061;019-0472;Свободна, передана;5318.0;15;11;9.0;2023.01.27
1063;019-0477;Свободна, передана;3592.7;16;12;94.0;2023.01.27
1064;019-0474;Свободна, передана;11561.12;17;13;308.0;2023.01.27
1065;019-0475;Свободна, передана;12032.12;18;14;330.0;2023.01.27
1066;019-0465;Свободна, передана;4624.3;10;8;20.0;2023.01.27
1067;019-0483;Свободна, передана;16366.63;19;11;290.0;2023.01.27
1068;019-0469;Свободна, передана;9411.0;20;1;68.0;2023.01.27
1069;019-0478;Свободна, передана;21197.0;20;3;97.0;2023.01.27
1070;020-0151;Занята;4080.0;21;15;;2023.01.27
1071;019-0480;Свободна, передана;15070.6;10;8;383.0;2023.01.27
1072;019-0431;Свободна, передана;19433.4;22;16;215.0;2023.01.27
1073;019-0430;Свободна, не передана;16094.4;23;15;;2023.01.27
1074;019-0463;Свободна, передана;5245.4;24;12;69.0;2023.01.27
1075;020-0710;Свободна, передана;8067.83;8;5;73.0;2023.01.27
1076;020-0708;Свободна, передана;6575.0;25;17;0.0;2023.01.27
1078;019-0471;Свободна, передана;11500.0;20;8;315.0;2023.01.27
1079;019-0675;Свободна, передана;8844.0;26;18;168.0;2023.01.27
1080;020-0712;Свободна, передана;6671.21;8;5;106.0;2023.01.27
1081;020-0709;Свободна, не передана;6848.84;27;1;91.0;2023.01.27
1082;021-0050;;;0;0;;2023.01.27
1083;020-0683;Свободна, не передана;7515.86;27;1;33.0;2023.01.27
1084;021-0049;;;0;0;;2023.01.27
1085;021-0781;Свободна, не передана;8226.4;2;0;;2023.01.27
1086;021-0048;Свободна, не передана;9900.0;6;0;;2023.01.27
1088;020-0711;Свободна, передана;7265.0;28;19;26.0;2023.01.27
1089;019-0594;Занята;17488.0;1;2;;2023.01.27
1090;020-0156;Занята;13288.0;21;15;;2023.01.27
1091;020-0149;Свободна, передана;2812.0;8;5;32.0;2023.01.27
1092;019-0676;Свободна, не передана;6291.0;29;20;107.0;2023.01.27
1093;020-0779;Свободна, передана;2992.5;26;18;10.0;2023.01.27
1094;019-0674;Занята;9030.0;6;0;;2023.01.27
1096;019-0589;Занята;3751.1;1;2;;2023.01.27
1098;020-0157;Занята;7243.9;30;7;44.0;2023.01.27
1099;019-0476;Свободна, передана;5429.0;31;19;3.0;2023.01.27
1100;019-0470;Свободна, передана;15050.0;18;21;105.0;2023.01.27
1102;017-0527;Занята;14784.0;8;5;;2023.01.27
1103;017-0520;Свободна, не передана;6367.0;8;5;;2023.01.27
1106;021-0548;Занята;4037.0;32;0;;2023.01.27
15;021-0549;Занята;;0;0;;2023.01.31
1011;022-0043;;;0;0;;2023.01.31
1013;022-0629;;;0;1;;2023.01.31
1014;022-0170;Свободна, передана;16402.54;1;2;339.0;2023.01.31
1017;022-0526;Свободна, не передана;18100.0;0;0;;2023.01.31
1018;022-0520;Свободна, не передана;27225.0;0;0;;2023.01.31
1019;022-0519;Свободна, не передана;8307.0;0;0;;2023.01.31
1020;022-0515;Занята;5500.0;0;0;;2023.01.31
1022;022-0513;Свободна, не передана;6892.0;0;0;;2023.01.31
1023;022-0527;Не передана;9850.0;0;0;;2023.01.31
1024;022-0522;Не передана;13260.0;0;0;;2023.01.31
1025;022-0518;Свободна, не передана;6000.0;0;0;;2023.01.31
1026;022-0631;;;0;2;;2023.01.31
1027;021-0550;Не передана под снос (для объектов сноса);1977.5;2;0;;2023.01.31
1028;022-0355;Не передана под снос (для объектов сноса);;1;2;;2023.01.31
1029;022-0592;;;3;0;;2023.01.31
1030;022-0525;Не передана;9900.0;0;0;;2023.01.31
1031;022-0707;;;0;0;;2023.01.31
1032;022-0630;;;0;0;;2023.01.31
1033;022-0523;;27225.0;0;0;;2023.01.31
1035;022-0524;Занята;6800.0;0;0;;2023.01.31
1036;022-0528;Занята;12225.0;0;0;;2023.01.31
1037;022-0354;Свободна, не передана;20271.0;0;0;;2023.01.31
1038;022-0176;Не передана;17000.0;4;0;;2023.01.31
1040;022-0172;Свободна, передана;;5;3;;2023.01.31
1041;020-0776;Свободна, не передана;3328.02;6;0;;2023.01.31
1042;022-0171;Свободна, передана;6671.21;1;2;127.0;2023.01.31
1043;022-0517;Занята;7000.0;0;0;;2023.01.31
1046;019-0668;Свободна, передана;2766.4;7;4;35.0;2023.01.31
1047;019-0464;Свободна, передана;11837.18;8;5;107.0;2023.01.31
1049;020-0720;Свободна, передана;20164.69;9;6;252.0;2023.01.31
1050;020-0719;Свободна, передана;5149.6;2;7;69.0;2023.01.31
1051;019-0466;Свободна, передана;5270.32;10;1;17.0;2023.01.31
1052;019-0429;Свободна, передана;11410.0;11;7;82.0;2023.01.31
1053;020-0155;Занята;16484.0;8;5;;2023.01.31
1054;019-0428;Свободна, передана;9067.1;12;4;42.0;2023.01.31
1055;020-0684;Занята;2488.6;1;2;;2023.01.31
1056;019-0467;Свободна, передана;11215.0;10;8;109.0;2023.01.31
1057;019-0482;Свободна, снос завершен (для объектов сноса);16442.0;10;8;;2023.01.31
1059;019-0481;Свободна, передана;15122.0;13;9;177.0;2023.01.31
1060;019-0473;Свободна, передана;11507.82;14;10;0.0;2023.01.31
1061;019-0472;Свободна, передана;5318.0;15;11;9.0;2023.01.31
1063;019-0477;Свободна, передана;3592.7;16;12;94.0;2023.01.31
1064;019-0474;Свободна, передана;11561.12;17;13;308.0;2023.01.31
1065;019-0475;Свободна, передана;12032.12;18;14;330.0;2023.01.31
1066;019-0465;Свободна, передана;4624.3;10;8;20.0;2023.01.31
1067;019-0483;Свободна, передана;16366.63;19;11;290.0;2023.01.31
1068;019-0469;Свободна, передана;9411.0;20;1;68.0;2023.01.31
1069;019-0478;Свободна, передана;21197.0;20;3;97.0;2023.01.31
1070;020-0151;Занята;4080.0;21;15;;2023.01.31
1071;019-0480;Свободна, передана;15070.6;10;8;383.0;2023.01.31
1072;019-0431;Свободна, передана;19433.4;22;16;215.0;2023.01.31
1073;019-0430;Свободна, не передана;16094.4;23;15;;2023.01.31
1074;019-0463;Свободна, передана;5245.4;24;12;69.0;2023.01.31
1075;020-0710;Свободна, передана;8067.83;8;5;73.0;2023.01.31
1076;020-0708;Свободна, передана;6575.0;25;17;0.0;2023.01.31
1078;019-0471;Свободна, передана;11500.0;20;8;315.0;2023.01.31
1079;019-0675;Свободна, передана;8844.0;26;18;168.0;2023.01.31
1080;020-0712;Свободна, передана;6671.21;8;5;106.0;2023.01.31
1081;020-0709;Свободна, не передана;6848.84;27;1;91.0;2023.01.31
1082;021-0050;;;0;0;;2023.01.31
1083;020-0683;Свободна, не передана;7515.86;27;1;33.0;2023.01.31
1084;021-0049;;;0;0;;2023.01.31
1085;021-0781;Свободна, не передана;8226.4;2;0;;2023.01.31
1086;021-0048;Свободна, не передана;9900.0;6;0;;2023.01.31
1088;020-0711;Свободна, передана;7265.0;28;19;26.0;2023.01.31
1089;019-0594;Занята;17488.0;1;2;;2023.01.31
1090;020-0156;Занята;13288.0;21;15;;2023.01.31
1091;020-0149;Свободна, передана;2812.0;8;5;32.0;2023.01.31
1092;019-0676;Свободна, не передана;6291.0;29;20;107.0;2023.01.31
1093;020-0779;Свободна, передана;2992.5;26;18;10.0;2023.01.31
1094;019-0674;Занята;9030.0;6;0;;2023.01.31
1096;019-0589;Занята;3751.1;1;2;;2023.01.31
1098;020-0157;Занята;7243.9;30;7;44.0;2023.01.31
1099;019-0476;Свободна, передана;5429.0;31;19;3.0;2023.01.31
1100;019-0470;Свободна, передана;15050.0;18;21;105.0;2023.01.31
1102;017-0527;Занята;14784.0;8;5;;2023.01.31
1103;017-0520;Свободна, не передана;6367.0;8;5;;2023.01.31
1106;021-0548;Занята;4037.0;32;0;;2023.01.31
15;021-0549;Занята;;0;0;;2023.02.03
1011;022-0043;;;0;0;;2023.02.03
1013;022-0629;;;0;1;;2023.02.03
1014;022-0170;Свободна, передана;16402.54;1;2;339.0;2023.02.03
1017;022-0526;Свободна, не передана;18100.0;0;0;;2023.02.03
1018;022-0520;Свободна, не передана;27225.0;0;0;;2023.02.03
1019;022-0519;Свободна, не передана;8307.0;0;0;;2023.02.03
1020;022-0515;Занята;5500.0;0;0;;2023.02.03
1022;022-0513;Свободна, не передана;6892.0;0;0;;2023.02.03
1023;022-0527;Не передана;9850.0;0;0;;2023.02.03
1024;022-0522;Не передана;13260.0;0;0;;2023.02.03
1025;022-0518;Свободна, не передана;6000.0;0;0;;2023.02.03
1026;022-0631;;;0;2;;2023.02.03
1027;021-0550;Не передана под снос (для объектов сноса);1977.5;2;0;;2023.02.03
1028;022-0355;Не передана под снос (для объектов сноса);;1;2;;2023.02.03
1029;022-0592;;;3;0;;2023.02.03
1030;022-0525;Не передана;9900.0;0;0;;2023.02.03
1031;022-0707;;;0;0;;2023.02.03
1032;022-0630;;;0;0;;2023.02.03
1033;022-0523;;27225.0;0;0;;2023.02.03
1035;022-0524;Занята;6800.0;0;0;;2023.02.03
1036;022-0528;Занята;12225.0;0;0;;2023.02.03
1037;022-0354;Свободна, не передана;20271.0;0;0;;2023.02.03
1038;022-0176;Не передана;17000.0;4;0;;2023.02.03
1040;022-0172;Свободна, передана;;5;3;;2023.02.03
1041;020-0776;Свободна, не передана;3328.02;6;0;;2023.02.03
1042;022-0171;Свободна, передана;6671.21;1;2;127.0;2023.02.03
1043;022-0517;Занята;7000.0;0;0;;2023.02.03
1046;019-0668;Свободна, передана;2766.4;7;4;35.0;2023.02.03
1047;019-0464;Свободна, передана;11837.18;8;5;107.0;2023.02.03
1049;020-0720;Свободна, передана;20164.69;9;6;252.0;2023.02.03
1050;020-0719;Свободна, передана;5149.6;2;7;69.0;2023.02.03
1051;019-0466;Свободна, передана;5270.32;10;1;17.0;2023.02.03
1052;019-0429;Свободна, передана;11410.0;11;7;82.0;2023.02.03
1053;020-0155;Занята;16484.0;8;5;;2023.02.03
1054;019-0428;Свободна, передана;9067.1;12;4;42.0;2023.02.03
1055;020-0684;Занята;2488.6;1;2;;2023.02.03
1056;019-0467;Свободна, передана;11215.0;10;8;109.0;2023.02.03
1057;019-0482;Свободна, снос завершен (для объектов сноса);16442.0;10;8;;2023.02.03
1059;019-0481;Свободна, передана;15122.0;13;9;177.0;2023.02.03
1060;019-0473;Свободна, передана;11507.82;14;10;0.0;2023.02.03
1061;019-0472;Свободна, передана;5318.0;15;11;9.0;2023.02.03
1063;019-0477;Свободна, передана;3592.7;16;12;94.0;2023.02.03
1064;019-0474;Свободна, передана;11561.12;17;13;308.0;2023.02.03
1065;019-0475;Свободна, передана;12032.12;18;14;330.0;2023.02.03
1066;019-0465;Свободна, передана;4624.3;10;8;20.0;2023.02.03
1067;019-0483;Свободна, передана;16366.63;19;11;290.0;2023.02.03
1068;019-0469;Свободна, передана;9411.0;20;1;68.0;2023.02.03
1069;019-0478;Свободна, передана;21197.0;20;3;97.0;2023.02.03
1070;020-0151;Занята;4080.0;21;15;;2023.02.03
1071;019-0480;Свободна, передана;15070.6;10;8;383.0;2023.02.03
1072;019-0431;Свободна, передана;19433.4;22;16;215.0;2023.02.03
1073;019-0430;Свободна, не передана;16094.4;23;15;;2023.02.03
1074;019-0463;Свободна, передана;5245.4;24;12;69.0;2023.02.03
1075;020-0710;Свободна, передана;8067.83;8;5;73.0;2023.02.03
1076;020-0708;Свободна, передана;6575.0;25;17;0.0;2023.02.03
1078;019-0471;Свободна, передана;11500.0;20;8;315.0;2023.02.03
1079;019-0675;Свободна, передана;8844.0;26;18;168.0;2023.02.03
1080;020-0712;Свободна, передана;6671.21;8;5;106.0;2023.02.03
1081;020-0709;Свободна, не передана;6848.84;27;1;91.0;2023.02.03
1082;021-0050;;;0;0;;2023.02.03
1083;020-0683;Свободна, не передана;7515.86;27;1;33.0;2023.02.03
1084;021-0049;;;0;0;;2023.02.03
1085;021-0781;Свободна, не передана;8226.4;2;0;;2023.02.03
1086;021-0048;Свободна, не передана;9900.0;6;0;;2023.02.03
1088;020-0711;Свободна, передана;7265.0;28;19;26.0;2023.02.03
1089;019-0594;Занята;17488.0;1;2;;2023.02.03
1090;020-0156;Занята;13288.0;21;15;;2023.02.03
1091;020-0149;Свободна, передана;2812.0;8;5;32.0;2023.02.03
1092;019-0676;Свободна, не передана;6291.0;29;20;107.0;2023.02.03
1093;020-0779;Свободна, передана;2992.5;26;18;10.0;2023.02.03
1094;019-0674;Занята;9030.0;6;0;;2023.02.03
1096;019-0589;Занята;3751.1;1;2;;2023.02.03
1098;020-0157;Занята;7243.9;30;7;44.0;2023.02.03
1099;019-0476;Свободна, передана;5429.0;31;19;3.0;2023.02.03
1100;019-0470;Свободна, передана;15050.0;18;21;105.0;2023.02.03
1102;017-0527;Занята;14784.0;8;5;;2023.02.03
1103;017-0520;Свободна, не передана;6367.0;8;5;;2023.02.03
1106;021-0548;Занята;4037.0;32;0;;2023.02.03
1014;022-0043;;;0;0;;2023.02.07
1015;022-0629;;;0;1;;2023.02.07
1016;022-0170;Свободна, передана;16402.54;1;2;307.0;2023.02.07
1018;021-0549;Занята;;0;0;;2023.02.07
1019;022-0526;Занята;18100.0;0;0;;2023.02.07
1020;022-0520;Свободна, не передана;27225.0;0;0;;2023.02.07
1021;022-0519;Свободна, не передана;8307.0;0;0;;2023.02.07
1022;022-0515;Занята;5500.0;0;0;;2023.02.07
1023;022-0513;Свободна, не передана;6892.0;0;0;;2023.02.07
1024;022-0527;Не передана;9850.0;0;0;;2023.02.07
1025;022-0522;Не передана;13260.0;0;0;;2023.02.07
1026;022-0518;Занята;6000.0;0;0;;2023.02.07
1027;022-0631;;;0;2;;2023.02.07
1028;021-0550;Занята;1977.5;2;0;;2023.02.07
1029;022-0355;Не передана под снос (для объектов сноса);;1;2;;2023.02.07
1030;022-0592;;3956.0;3;0;;2023.02.07
1031;022-0525;Не передана;9900.0;0;0;;2023.02.07
1032;022-0707;;;0;0;;2023.02.07
1033;022-0630;;;0;0;;2023.02.07
1034;022-0523;;27225.0;0;0;;2023.02.07
1036;022-0524;Занята;6800.0;0;0;;2023.02.07
1037;022-0528;Занята;12225.0;0;0;;2023.02.07
1038;022-0354;Занята;20271.0;0;0;;2023.02.07
1039;022-0176;Не передана;17000.0;4;0;;2023.02.07
1040;022-0172;Свободна, передана;;5;3;;2023.02.07
1041;020-0776;Свободна, не передана;3328.02;6;0;;2023.02.07
1042;022-0171;Свободна, передана;6671.21;1;2;176.0;2023.02.07
1043;022-0517;Занята;7000.0;0;0;;2023.02.07
1046;019-0668;Свободна, передана;2766.4;7;4;41.0;2023.02.07
1047;019-0464;Свободна, передана;11837.18;8;5;73.0;2023.02.07
1049;020-0720;Свободна, передана;20164.69;9;6;228.0;2023.02.07
1050;020-0719;Свободна, передана;5149.6;2;7;97.0;2023.02.07
1051;019-0466;Свободна, передана;5270.32;10;1;17.0;2023.02.07
1052;019-0429;Свободна, передана;11410.0;11;7;79.0;2023.02.07
1053;020-0155;Свободна, не передана;16484.0;8;5;;2023.02.07
1054;019-0428;Свободна, передана;9067.1;12;4;42.0;2023.02.07
1055;020-0684;Занята;2488.6;1;2;;2023.02.07
1056;019-0467;Свободна, передана;11215.0;10;8;64.0;2023.02.07
1057;019-0482;Свободна, снос завершен (для объектов сноса);16442.0;10;8;;2023.02.07
1059;019-0481;Свободна, передана;15122.0;13;9;174.0;2023.02.07
1060;019-0473;Свободна, передана;11507.82;14;10;0.0;2023.02.07
1061;019-0472;Свободна, передана;5318.0;15;11;9.0;2023.02.07
1063;019-0477;Свободна, передана;3592.7;16;12;123.0;2023.02.07
1064;019-0474;Свободна, передана;11561.12;17;13;311.0;2023.02.07
1065;019-0475;Свободна, передана;12032.12;18;14;310.0;2023.02.07
1066;019-0465;Свободна, передана;4624.3;10;8;20.0;2023.02.07
1067;019-0483;Свободна, передана;16366.63;19;11;313.0;2023.02.07
1068;019-0469;Свободна, передана;9411.0;20;1;169.0;2023.02.07
1069;019-0478;Свободна, передана;21197.0;20;3;97.0;2023.02.07
1070;020-0151;Занята;4080.0;21;15;;2023.02.07
1071;019-0480;Свободна, передана;14919.0;10;8;422.0;2023.02.07
1072;019-0431;Свободна, передана;19433.4;22;16;182.0;2023.02.07
1073;019-0430;Свободна, не передана;16094.4;23;15;;2023.02.07
1074;019-0463;Свободна, передана;5245.4;24;12;32.0;2023.02.07
1075;020-0710;Свободна, передана;8067.83;8;5;96.0;2023.02.07
1076;020-0708;Свободна, передана;6575.0;25;17;0.0;2023.02.07
1078;019-0471;Свободна, передана;11500.0;20;8;322.0;2023.02.07
1079;019-0675;Свободна, передана;8844.0;26;18;140.0;2023.02.07
1080;020-0712;Свободна, передана;6671.21;8;5;106.0;2023.02.07
1081;020-0709;Свободна, не передана;6848.84;27;1;86.0;2023.02.07
1082;021-0050;;;0;0;;2023.02.07
1083;020-0683;Свободна, не передана;7515.86;27;1;29.0;2023.02.07
1084;021-0049;;;0;0;;2023.02.07
1085;021-0781;Свободна, не передана;8226.4;2;0;;2023.02.07
1086;021-0048;Свободна, не передана;10320.0;6;0;;2023.02.07
1088;020-0711;Свободна, передана;7265.0;28;19;25.0;2023.02.07
1089;019-0594;Занята;17488.0;1;2;;2023.02.07
1090;020-0156;Занята;13288.0;21;15;;2023.02.07
1091;020-0149;Свободна, передана;2812.0;8;5;74.0;2023.02.07
1092;019-0676;Свободна, не передана;6291.0;29;20;107.0;2023.02.07
1093;020-0779;Свободна, передана;2992.5;26;18;10.0;2023.02.07
1094;019-0674;Занята;9030.0;6;0;;2023.02.07
1096;019-0589;Занята;3751.1;1;2;;2023.02.07
1098;020-0157;Занята;7243.9;30;7;48.0;2023.02.07
1099;019-0476;Свободна, передана;5429.0;31;19;3.0;2023.02.07
1100;019-0470;Свободна, передана;15050.0;18;21;70.0;2023.02.07
1102;017-0527;Занята;14784.0;8;5;;2023.02.07
1103;017-0520;Свободна, не передана;6367.0;8;5;;2023.02.07
1106;021-0548;Занята;4037.0;32;0;;2023.02.07
1014;022-0043;;;0;0;;2023.02.08
1015;022-0629;;;0;1;;2023.02.08
1016;022-0170;Свободна, передана;16402.54;1;2;338.0;2023.02.08
1018;021-0549;Занята;;0;0;;2023.02.08
1019;022-0526;Занята;18100.0;0;0;;2023.02.08
1020;022-0520;Свободна, не передана;27225.0;0;0;;2023.02.08
1021;022-0519;Свободна, не передана;8307.0;0;0;;2023.02.08
1022;022-0515;Занята;5500.0;0;0;;2023.02.08
1023;022-0513;Свободна, не передана;6892.0;0;0;;2023.02.08
1024;022-0527;Не передана;9850.0;0;0;;2023.02.08
1025;022-0522;Не передана;13260.0;0;0;;2023.02.08
1026;022-0518;Занята;6000.0;0;0;;2023.02.08
1027;022-0631;;;0;2;;2023.02.08
1028;021-0550;Занята;1977.5;2;0;;2023.02.08
1029;022-0355;Не передана под снос (для объектов сноса);;1;2;;2023.02.08
1030;022-0592;;3956.0;3;0;;2023.02.08
1031;022-0525;Не передана;9900.0;0;0;;2023.02.08
1032;022-0707;;;0;0;;2023.02.08
1033;022-0630;;;0;0;;2023.02.08
1034;022-0523;;27225.0;0;0;;2023.02.08
1036;022-0524;Занята;6800.0;0;0;;2023.02.08
1037;022-0528;Занята;12225.0;0;0;;2023.02.08
1038;022-0354;Занята;20271.0;0;0;;2023.02.08
1039;022-0176;Не передана;17000.0;4;0;;2023.02.08
1040;022-0172;Свободна, передана;;5;3;;2023.02.08
1041;020-0776;Свободна, не передана;3328.02;6;0;;2023.02.08
1042;022-0171;Свободна, передана;6671.21;1;2;165.0;2023.02.08
1043;022-0517;Занята;7000.0;0;0;;2023.02.08
1046;019-0668;Свободна, передана;2766.4;7;4;41.0;2023.02.08
1047;019-0464;Свободна, передана;11837.18;8;5;94.0;2023.02.08
1049;020-0720;Свободна, передана;20164.69;9;6;238.0;2023.02.08
1050;020-0719;Свободна, передана;5149.6;2;7;90.0;2023.02.08
1051;019-0466;Свободна, передана;5270.32;10;1;17.0;2023.02.08
1052;019-0429;Свободна, передана;11410.0;11;7;79.0;2023.02.08
1053;020-0155;Свободна, не передана;16484.0;8;5;;2023.02.08
